title_id,title_name,genre,release_year,origin_country,original_language,duration_min,age_rating,imdb_rating,provider,is_original,date_added
1,Title 1,Comedy,1981,DE,German,97,PG,7.6,Netflux,1,2022-08-03
2,Title 2,Romance,1985,JP,Japanese,48,G,6.8,Netflux,0,2017-06-14
3,Title 3,Thriller,2012,JP,English,90,NC-17,6.7,Streamio,0,2017-06-21
4,Title 4,Horror,2017,DE,English,80,R,6.7,CinemaNow,1,2018-02-12
5,Title 5,Action,1993,ES,Italian,63,R,8.9,Netflux,0,2019-01-10
6,Title 6,Documentary,2018,DE,English,157,NC-17,7.9,Netflux,1,2019-03-31
7,Title 7,Comedy,2015,DE,Dutch,89,G,6.4,Netflux,0,2022-06-01
8,Title 8,Thriller,1998,UK,German,65,R,7.7,CinemaNow,0,2020-02-01
9,Title 9,Documentary,1990,ES,Dutch,93,PG-13,7.3,Netflux,0,2021-10-31
10,Title 10,Action,2014,FR,French,158,R,4.7,CinemaNow,0,2022-03-06
11,Title 11,Romance,1994,KR,Dutch,54,PG,5.8,Netflux,0,2024-01-11
12,Title 12,Documentary,2005,DE,Italian,94,NC-17,7.4,CinemaNow,0,2017-05-20
13,Title 13,Horror,2005,KR,Korean,76,PG-13,8.8,ViewPrime,0,2017-10-07
14,Title 14,Romance,2014,DE,Japanese,142,PG-13,6.7,ViewPrime,0,2016-07-20
15,Title 15,Romance,2011,UK,English,68,PG,6.3,ViewPrime,0,2023-11-19
16,Title 16,Animation,2018,UK,Japanese,137,NC-17,7.1,Streamio,0,2020-12-07
17,Title 17,Sci-Fi,2015,US,Italian,177,PG-13,6.3,CinemaNow,0,2016-04-01
18,Title 18,Sci-Fi,2007,IT,Korean,40,PG-13,6.6,ViewPrime,0,2020-09-10
19,Title 19,Comedy,2020,DE,German,79,PG-13,7.0,ViewPrime,0,2021-01-18
20,Title 20,Romance,1980,JP,Dutch,165,G,5.7,Netflux,1,2019-01-26
21,Title 21,Sci-Fi,1995,US,German,60,G,8.0,Streamio,0,2024-02-25
22,Title 22,Comedy,2014,IT,French,161,NC-17,5.5,ViewPrime,0,2017-12-21
23,Title 23,Romance,2018,NL,German,178,PG,5.4,CinemaNow,1,2019-06-23
24,Title 24,Documentary,2008,AU,Korean,70,PG,7.2,ViewPrime,1,2015-09-20
25,Title 25,Documentary,1981,JP,German,96,G,7.9,Netflux,0,2022-12-09
26,Title 26,Drama,1994,UK,English,124,G,7.2,ViewPrime,0,2018-02-14
27,Title 27,Horror,1993,AU,French,161,PG,6.9,Streamio,0,2024-01-21
28,Title 28,Animation,1992,UK,Italian,150,PG-13,6.6,Streamio,0,2019-08-11
29,Title 29,Horror,1983,KR,Italian,55,R,6.4,CinemaNow,0,2023-12-24
30,Title 30,Comedy,1995,FR,German,177,R,8.3,ViewPrime,0,2019-09-25
31,Title 31,Action,1997,CA,German,59,R,7.4,Netflux,0,2015-07-27
32,Title 32,Romance,1980,UK,German,82,R,6.5,Streamio,1,2020-05-25
33,Title 33,Thriller,2005,US,French,137,G,6.2,Streamio,0,2017-12-22
34,Title 34,Horror,1998,NL,Korean,79,PG,7.7,CinemaNow,1,2017-06-10
35,Title 35,Drama,2017,AU,English,120,G,8.2,Netflux,1,2021-07-20
36,Title 36,Horror,2012,AU,French,54,NC-17,8.1,Netflux,0,2024-07-19
37,Title 37,Action,1984,JP,Italian,100,R,6.0,Netflux,1,2024-12-25
38,Title 38,Thriller,2017,JP,English,60,R,6.6,CinemaNow,0,2017-12-04
39,Title 39,Thriller,2022,ES,German,107,R,6.4,ViewPrime,0,2022-07-14
40,Title 40,Sci-Fi,2009,ES,Italian,42,R,6.8,Netflux,0,2015-10-28
