user_id,country,signup_date,plan_type,primary_device,age,gender,is_active
1,ES,2018-03-29,Premium,Smart TV,59,Other,1
2,IT,2021-07-19,Premium,Smart TV,42,Other,1
3,UK,2020-03-22,Standard,Mobile,80,Other,1
4,AU,2018-03-27,Basic,Mobile,48,Other,0
5,IT,2021-09-23,Premium,Smart TV,58,F,1
6,ES,2018-08-28,Premium,Tablet,66,Other,1
7,NL,2021-09-07,Basic,Tablet,68,Other,0
8,UK,2022-03-20,Basic,Desktop,35,Other,1
9,FR,2022-03-23,Premium,Mobile,80,M,0
10,IT,2020-10-11,Basic,Tablet,46,F,1
11,FR,2019-09-13,Premium,Mobile,40,M,1
12,US,2018-02-03,Standard,Mobile,42,M,1
13,KR,2022-08-23,Basic,Mobile,48,F,1
14,NL,2018-09-01,Standard,Desktop,17,Other,1
15,DE,2021-05-08,Standard,Desktop,63,M,0
16,NL,2019-09-15,Premium,Desktop,21,Other,0
17,US,2020-10-03,Standard,Tablet,60,M,1
18,CA,2019-06-08,Standard,Mobile,70,Other,1
19,JP,2021-04-17,Standard,Desktop,19,F,1
20,CA,2018-03-21,Basic,Desktop,48,Other,1
21,UK,2018-07-08,Basic,Mobile,74,F,1
22,ES,2022-03-15,Basic,Desktop,20,F,1
23,AU,2019-09-27,Premium,Desktop,43,Other,1
24,UK,2020-04-20,Basic,Smart TV,19,Other,1
25,UK,2020-06-29,Premium,Smart TV,75,F,1
26,JP,2021-11-28,Standard,Mobile,48,Other,0
27,AU,2018-08-29,Standard,Smart TV,73,F,1
28,IT,2022-10-15,Basic,Tablet,58,F,0
29,KR,2018-08-13,Basic,Mobile,41,F,1
30,FR,2020-09-22,Basic,Desktop,38,F,1
31,DE,2018-03-31,Basic,Smart TV,59,Other,1
32,CA,2021-04-10,Basic,Desktop,30,M,1
33,IT,2018-12-03,Basic,Mobile,72,F,1
34,NL,2020-01-21,Basic,Tablet,29,F,1
35,US,2020-08-28,Standard,Desktop,70,M,0
36,UK,2018-05-14,Standard,Tablet,76,F,0
37,FR,2020-11-04,Basic,Mobile,19,M,0
38,JP,2018-06-26,Basic,Smart TV,73,Other,1
39,ES,2021-01-23,Premium,Tablet,77,M,1
40,KR,2022-06-06,Basic,Desktop,30,Other,1
41,FR,2018-03-23,Basic,Smart TV,54,M,1
