view_id,user_id,title_id,start_time,watch_duration_min,completed,rewatch_flag,device,country
1,3159,296,2023-12-17 18:56:00,87,0,0,Smart TV,UK
2,1067,1575,2020-09-17 07:01:00,125,0,0,Smart TV,IT
3,2222,1830,2023-02-05 15:24:00,70,0,0,Mobile,KR
4,1527,847,2020-07-21 06:42:00,150,1,0,Tablet,UK
5,2975,1004,2021-05-29 10:34:00,106,0,0,Mobile,UK
6,4129,1528,2020-01-28 22:20:00,134,1,0,Smart TV,KR
7,4724,503,2021-10-01 01:33:00,61,0,0,Tablet,CA
8,2223,1298,2021-07-25 04:43:00,168,1,0,Desktop,FR
9,4219,1087,2021-12-23 18:34:00,135,0,0,Mobile,DE
10,4830,353,2020-02-01 13:39:00,103,1,0,Tablet,NL
11,3121,1256,2021-02-05 05:23:00,175,0,0,Desktop,KR
12,1164,1950,2022-07-27 13:44:00,46,1,0,Smart TV,AU
13,1967,849,2023-01-08 07:05:00,49,1,1,Desktop,ES
14,2790,473,2021-06-04 03:34:00,57,0,1,Tablet,KR
15,2779,1301,2022-08-21 17:52:00,13,0,1,Smart TV,AU
16,1100,1831,2022-11-18 00:05:00,121,0,0,Desktop,UK
17,661,1389,2020-02-24 13:08:00,149,1,0,Tablet,JP
18,2973,1777,2020-02-06 04:47:00,103,0,0,Tablet,NL
19,2192,932,2021-04-02 11:42:00,59,0,0,Tablet,JP
20,783,1803,2023-08-08 09:44:00,68,0,0,Mobile,KR
21,252,1522,2021-03-20 05:15:00,36,0,0,Desktop,KR
22,3498,1980,2022-08-17 18:40:00,17,0,0,Desktop,AU
23,3458,1311,2022-09-23 23:16:00,125,0,1,Desktop,IT
24,1113,1539,2020-04-15 22:59:00,29,0,1,Mobile,IT
25,504,605,2020-01-04 17:14:00,135,1,0,Tablet,DE
26,2023,1519,2022-08-17 17:11:00,105,1,1,Mobile,KR
27,696,1316,2023-01-23 14:30:00,126,0,0,Tablet,NL
28,1817,386,2021-08-01 04:08:00,88,1,0,Smart TV,IT
29,4846,463,2023-06-15 04:08:00,72,1,0,Smart TV,UK
30,2950,1813,2022-10-05 15:28:00,51,1,0,Desktop,CA
31,3738,517,2022-01-11 14:43:00,91,0,0,Mobile,AU
32,1351,219,2023-09-10 16:33:00,93,1,1,Smart TV,KR
33,764,205,2021-07-31 16:19:00,115,0,1,Mobile,NL
34,1862,1457,2022-02-14 06:33:00,63,0,0,Desktop,DE
35,4377,1002,2023-01-15 16:55:00,81,0,0,Smart TV,NL
36,130,1553,2023-09-28 09:29:00,89,0,0,Smart TV,US
37,3019,1359,2022-10-27 19:19:00,119,1,0,Desktop,KR
38,459,1804,2022-02-24 18:44:00,67,0,0,Smart TV,FR
39,4311,698,2021-05-09 04:41:00,168,0,0,Mobile,DE
40,1231,1994,2021-10-11 09:26:00,25,0,0,Desktop,IT
41,3885,1213,2021-08-16 13:47:00,118,1,1,Desktop,AU
42,4304,1361,2020-05-19 16:48:00,150,0,0,Desktop,NL
43,1764,1470,2022-04-28 23:58:00,25,0,0,Smart TV,DE
44,4704,667,2023-06-20 22:18:00,168,1,0,Tablet,US
45,4799,277,2023-12-13 02:07:00,148,1,0,Tablet,US
46,3590,355,2021-04-15 20:21:00,166,0,0,Mobile,JP
47,716,1268,2021-07-29 14:13:00,131,0,0,Desktop,KR
48,4678,866,2020-10-08 12:43:00,55,0,0,Desktop,FR
49,2893,599,2023-02-26 19:56:00,131,0,0,Desktop,CA
50,4672,176,2023-12-20 15:35:00,165,0,0,Smart TV,AU
51,1108,42,2020-03-31 17:45:00,170,1,0,Mobile,JP
52,191,1616,2020-03-02 03:47:00,70,1,0,Smart TV,JP
53,4134,1674,2022-04-15 21:26:00,157,0,0,Mobile,ES
54,3237,374,2021-10-16 02:20:00,130,1,0,Tablet,AU
55,4802,697,2020-08-08 08:55:00,154,1,0,Mobile,JP
56,4629,1433,2022-03-25 14:06:00,166,1,1,Mobile,UK
57,4189,17,2020-01-04 22:16:00,166,1,1,Tablet,CA
58,4218,1423,2022-09-17 05:17:00,45,1,0,Smart TV,NL
59,3964,1757,2023-10-11 20:18:00,155,0,0,Desktop,JP
60,3470,716,2023-12-12 21:08:00,163,0,0,Tablet,NL
61,4230,407,2020-04-01 11:07:00,121,0,0,Mobile,KR
62,4804,952,2020-11-14 23:21:00,21,1,1,Smart TV,FR
63,1779,1771,2021-06-08 06:48:00,65,0,0,Tablet,ES
64,1901,1935,2022-06-03 14:23:00,177,0,0,Desktop,NL
65,3966,1020,2022-06-28 06:16:00,38,0,0,Desktop,AU
66,2743,1090,2022-09-14 10:03:00,57,0,0,Mobile,FR
67,75,614,2023-12-22 20:37:00,117,1,0,Mobile,US
68,2104,3,2022-08-21 15:04:00,166,0,0,Smart TV,AU
69,4178,62,2022-04-25 02:42:00,152,0,0,Mobile,AU
70,3944,1726,2021-06-25 12:25:00,110,0,0,Desktop,US
71,2237,972,2020-11-06 23:05:00,122,0,0,Mobile,FR
72,1395,594,2021-04-16 11:24:00,113,1,0,Smart TV,JP
73,414,447,2020-11-10 11:48:00,55,1,0,Desktop,NL
74,4693,762,2020-10-22 11:20:00,141,0,0,Desktop,AU
75,3111,1003,2021-02-27 10:46:00,7,0,0,Desktop,ES
76,4590,1555,2020-07-10 23:03:00,174,1,0,Desktop,ES
77,1441,1071,2023-11-11 07:41:00,157,1,0,Tablet,NL
78,3779,1723,2022-03-01 08:46:00,111,1,1,Mobile,US
79,1503,1393,2022-02-14 02:16:00,161,1,0,Smart TV,DE
80,3317,1373,2021-04-29 03:49:00,151,0,0,Desktop,IT
81,1443,1763,2022-06-22 10:25:00,81,0,0,Tablet,UK
82,1827,1189,2020-03-19 18:20:00,21,0,0,Tablet,FR
83,3222,1821,2022-04-01 06:01:00,20,1,0,Desktop,KR
84,1646,799,2020-10-24 22:59:00,35,0,0,Mobile,IT
85,2939,1391,2020-06-07 12:16:00,19,0,0,Desktop,US
86,4182,947,2023-12-29 20:03:00,81,0,0,Mobile,UK
87,741,419,2023-09-01 11:48:00,55,1,0,Desktop,AU
88,2019,1238,2022-05-01 11:59:00,45,1,0,Desktop,KR
89,1337,1568,2023-05-04 10:37:00,144,1,0,Desktop,US
90,3610,944,2022-08-18 22:03:00,90,0,1,Tablet,UK
91,2443,1059,2023-04-28 18:45:00,14,1,0,Desktop,KR
92,731,374,2023-11-21 18:58:00,159,0,0,Desktop,US
93,4989,1568,2023-05-16 03:20:00,79,0,1,Smart TV,IT
94,3918,20,2020-04-11 21:08:00,151,1,0,Smart TV,FR
95,1777,1590,2023-11-25 03:13:00,37,0,1,Desktop,KR
96,4173,1172,2021-02-03 15:52:00,72,0,0,Desktop,AU
97,162,321,2020-05-11 07:27:00,144,0,0,Tablet,US
98,621,737,2022-10-20 15:05:00,39,1,1,Mobile,US
99,4312,545,2020-12-19 22:40:00,170,1,0,Tablet,DE
100,518,1480,2023-04-24 11:50:00,110,1,1,Mobile,IT
101,3875,893,2023-09-26 11:21:00,147,0,0,Smart TV,KR
102,1271,451,2023-11-19 11:23:00,38,0,0,Tablet,AU
103,4558,1005,2023-09-30 00:55:00,116,0,0,Smart TV,JP
104,48,1606,2023-09-27 04:49:00,42,0,1,Smart TV,JP
105,4984,1902,2021-04-01 07:22:00,41,0,0,Desktop,FR
106,4319,1255,2022-10-16 03:23:00,54,0,0,Tablet,ES
107,4904,1329,2022-04-19 09:31:00,45,0,0,Desktop,CA
108,4312,1361,2021-09-26 23:31:00,73,0,0,Desktop,DE
109,2270,1385,2022-01-07 10:02:00,121,1,0,Smart TV,IT
110,4260,503,2020-07-29 00:59:00,36,1,0,Tablet,ES
111,404,1078,2023-01-23 01:59:00,143,0,1,Desktop,FR
112,2590,826,2021-09-27 11:48:00,11,1,0,Tablet,IT
113,4448,228,2023-08-25 00:20:00,140,0,0,Mobile,FR
114,892,4,2023-02-25 20:35:00,179,0,0,Desktop,US
115,3986,1218,2022-10-04 08:16:00,132,0,0,Desktop,JP
116,651,1205,2021-03-10 14:34:00,145,1,0,Desktop,IT
117,3088,398,2022-02-25 20:18:00,104,1,0,Tablet,FR
118,1985,1917,2021-03-25 07:19:00,118,0,0,Desktop,AU
119,2266,1524,2023-03-21 13:14:00,55,0,0,Desktop,CA
120,4729,1832,2020-10-29 04:50:00,115,1,0,Smart TV,JP
121,4113,235,2023-06-15 02:22:00,5,0,0,Smart TV,AU
122,1791,994,2021-08-17 06:35:00,168,1,0,Desktop,JP
123,2007,591,2021-10-03 01:20:00,47,0,1,Mobile,NL
124,4918,594,2020-01-18 10:58:00,167,0,0,Mobile,DE
125,2069,970,2020-09-24 13:01:00,164,0,0,Desktop,AU
126,4618,875,2020-12-01 19:04:00,74,0,0,Tablet,FR
127,4813,997,2022-07-12 07:26:00,101,0,1,Mobile,IT
128,4687,1091,2021-10-11 18:07:00,160,0,0,Mobile,DE
129,3597,1539,2021-09-02 15:46:00,64,1,0,Desktop,DE
130,3571,748,2021-02-23 19:28:00,170,1,1,Tablet,DE
131,4293,923,2021-09-05 16:47:00,157,1,0,Tablet,IT
132,2968,928,2020-08-26 07:07:00,166,1,0,Tablet,AU
133,2150,541,2023-05-15 12:04:00,116,1,0,Smart TV,KR
134,4625,656,2021-01-05 10:30:00,69,1,0,Desktop,UK
135,3906,990,2021-07-22 07:28:00,168,0,0,Smart TV,KR
136,651,291,2021-03-31 16:17:00,136,1,0,Desktop,IT
137,3641,757,2022-02-24 02:50:00,163,1,1,Mobile,ES
138,4492,1549,2023-02-26 16:30:00,90,0,0,Tablet,CA
139,4037,1214,2023-10-01 17:54:00,61,0,0,Smart TV,NL
140,1536,1668,2023-05-02 01:40:00,12,1,1,Mobile,FR
141,2652,1207,2020-01-26 10:18:00,94,1,0,Mobile,AU
142,3590,472,2022-02-16 10:35:00,98,0,0,Tablet,JP
143,266,661,2023-03-07 02:36:00,62,1,0,Tablet,IT
144,2482,1896,2021-01-13 09:26:00,37,0,0,Desktop,US
145,845,276,2021-01-20 19:14:00,68,0,0,Mobile,IT
